cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
Domri Rade,Gatecrash,0,1,5.15,7.99,abugames,trollandtoad,16,3,%
Angel's Grace,Modern Masters,0,1,4.95,7.99,abugames,trollandtoad,12,3,%
Petrified Field,Odyssey,0,2,6,7.99,capefeargames,trollandtoad,8,17,%
Blood Crypt,Return to Ravnica,0,1,4.68,7.99,abugames,trollandtoad,16,3,%
Coat of Arms,Exodus,0,1,5,8.08,cardkingdom,tcgplayer,21,,%
Sublime Archangel,Magic 2013,0,1,5,8.16,cardkingdom,tcgplayer,21,,%
Golgari Grave-Troll,Duel Decks: Izzet vs. Golgari,0,1,1.96,8.18,abugames,tcgplayer,12,,%
Stony Silence,Innistrad,0,2,5,8.39,magicdotcards,trollandtoad,,1,%
"Brimaz, King of Oreskos",Born of the Gods,0,3,5.23,8.49,abugames,trollandtoad,16,12,%
Quicksilver Amulet,Urza's Legacy,0,1,5.5,8.64,cardkingdom,tcgplayer,15,,%
Grafdigger's Cage,Dark Ascension,0,2,5,8.79,cardkingdom,trollandtoad,45,22,%
Archive Trap,Zendikar,0,1,5.5,8.96,cardkingdom,tcgplayer,25,,%
All Is Dust,Modern Masters 2015 Edition,0,2,5.06,8.99,abugames,trollandtoad,16,6,%
Overgrown Tomb,Return to Ravnica,0,1,5.34,8.99,abugames,trollandtoad,16,19,%
"Doran, the Siege Tower",Lorwyn,0,1,7,9.16,cardkingdom,tcgplayer,18,,%
Asceticism,Scars of Mirrodin,0,1,5.23,9.17,abugames,tcgplayer,16,,%
Chains of Mephistopheles,Legends,0,1,250,351.33,capefeargames,tcgplayer,4,,%
Defense of the Heart,Urza's Legacy,0,2,5.5,10.51,cardkingdom,tcgplayer,22,,%
Ensnaring Bridge,Stronghold,0,1,27.54,37.99,abugames,trollandtoad,20,2,%
Extraplanar Lens,Mirrodin,0,1,7.62,11.99,abugames,trollandtoad,16,14,%
Goryo's Vengeance,Betrayers of Kamigawa,0,2,21.37,34.99,abugames,trollandtoad,16,8,%
Huntmaster of the Fells,Dark Ascension,0,1,8.5,14.3,cardkingdom,tcgplayer,20,,%
Kitchen Finks,Modern Masters,0,1,8,15.33,cardkingdom,tcgplayer,32,,%
Kor Spiritdancer,Rise of the Eldrazi,0,1,8.43,10.99,abugames,trollandtoad,12,14,%
Mox Diamond,Stronghold,0,1,49.58,61.99,abugames,trollandtoad,20,1,%
Orzhov Pontiff,Guildpact,0,2,7.87,12.99,abugames,trollandtoad,16,3,%
Stoneforge Mystic,Worldwake,0,1,11,14.49,cardkingdom,trollandtoad,14,1,%
Wasteland,Tempest,0,4,31,34.99,cardkingdom,trollandtoad,23,5,%
Weathered Wayfarer,Ninth Edition,0,1,5.1,10.06,cardkingdom,tcgplayer,10,,%
Wheel of Sun and Moon,Shadowmoor,0,2,12,14.99,magicdotcards,trollandtoad,,8,%
Windswept Heath,Khans of Tarkir,0,9,7,12.79,cardkingdom,tcgplayer,71,,%
Worship,Ninth Edition,0,3,9.39,14.73,abugames,tcgplayer,8,,%
Wurmcoil Engine,Commander 2014,0,1,11.39,17.27,abugames,tcgplayer,20,,%
"Uril, the Miststalker",Alara Reborn,0,1,4,5.3,cardkingdom,tcgplayer,10,,%
Wargate,Alara Reborn,0,2,2,2.79,cardkingdom,trollandtoad,14,2,%
Phelddagrif,Alliances,0,1,3.58,5.49,abugames,trollandtoad,12,4,%
Llanowar Wastes,Apocalypse,0,2,2,2.79,cardkingdom,trollandtoad,10,1,%
Pernicious Deed,Apocalypse,0,3,3,4.49,magicdotcards,trollandtoad,,4,%
Patron of the Orochi,Betrayers of Kamigawa,0,2,2.3,2.99,cardkingdom,trollandtoad,10,9,%
"Brimaz, King of Oreskos",Born of the Gods,0,3,5.23,8.49,abugames,trollandtoad,16,12,%
Budoka Gardener,Champions of Kamigawa,0,2,2,2.99,capefeargames,trollandtoad,6,6,%
Eiganjo Castle,Champions of Kamigawa,0,1,6,7.49,cardkingdom,trollandtoad,10,5,%
Konda's Banner,Champions of Kamigawa,0,1,4.7,4.79,cardkingdom,trollandtoad,19,1,%
"Darien, King of Kjeldor",Coldsnap,0,1,4.3,6.53,cardkingdom,tcgplayer,19,,%
Martyr's Bond,Commander,0,1,2.75,7.33,abugames,tcgplayer,12,,%
Font of Mythos,Conflux,0,1,3.8,4.79,cardkingdom,trollandtoad,22,9,%
Vedalken Orrery,Conspiracy,0,1,2.8,2.89,abugames,trollandtoad,12,3,%
Grafdigger's Cage,Dark Ascension,0,2,5,8.79,cardkingdom,trollandtoad,45,22,%
Gravecrawler,Dark Ascension,0,4,4,5.99,magicdotcards,tcgplayer,,,%
"Thalia, Guardian of Thraben",Dark Ascension,0,1,5,7.99,magicdotcards,trollandtoad,,1,%
Blinkmoth Nexus,Darksteel,0,4,5.62,5.99,abugames,trollandtoad,16,11,%
Rain of Gore,Dissension,0,1,3,3.99,magicdotcards,tcgplayer,,,%
Tidespout Tyrant,Dissension,0,1,3.58,3.19,abugames,trollandtoad,16,3,%
Golgari Grave-Troll,Duel Decks: Izzet vs. Golgari,0,1,1.96,8.18,abugames,tcgplayer,12,,%
Remand,Duel Decks: Jace vs. Vraska,0,1,3.02,5.04,abugames,tcgplayer,15,,%
Knight of the White Orchid,Duel Decks: Knights vs. Dragons,0,1,3.22,3.99,abugames,trollandtoad,20,9,%
Living Death,Duel Decks: Phyrexia vs. The Coalition,0,1,2.25,3.11,cardkingdom,tcgplayer,10,,%
Eldrazi Temple,Duel Decks: Zendikar vs. Eldrazi,0,1,1.1,4.11,cardkingdom,tcgplayer,20,,%
Elvish Champion,Eighth Edition,0,2,4,3.39,cardkingdom,abugames,13,0,%
Ward of Bones,Eventide,0,1,2.22,3.19,abugames,trollandtoad,20,1,%
Cataclysm,Exodus,0,1,2.51,5.39,abugames,trollandtoad,99,10,%
Coat of Arms,Exodus,0,1,5,8.08,cardkingdom,tcgplayer,21,,%
Soulfire Grand Master,Fate Reforged,0,3,2,3.89,magicdotcards,tcgplayer,,,%
Wrath of God,Fourth Edition,0,1,3.7,4.09,cardkingdom,trollandtoad,19,1,%
Cloud Key,Future Sight,0,2,4,7.07,cardkingdom,tcgplayer,8,,%
Domri Rade,Gatecrash,0,1,5.15,7.99,abugames,trollandtoad,16,3,%
Legion Loyalist,Gatecrash,0,1,5,5.49,magicdotcards,trollandtoad,,28,%
Angel of Despair,Guildpact,0,1,2,3.5,magicdotcards,tcgplayer,,,%
"Teysa, Orzhov Scion",Guildpact,0,1,2.34,3.39,abugames,trollandtoad,16,2,%
Sulfurous Springs,Ice Age,0,1,2.18,4.18,abugames,tcgplayer,12,,%
Gavony Township,Innistrad,0,2,3.7,4.99,cardkingdom,trollandtoad,36,3,%
